AnchorPoint	ExplorationNum	ExplorationType
8D	5D-1	Camera
8D	5D-2	RobotArm
8D	5D-3	RobotArm
8D	5D-4	Camera
8D	6D-1	Camera
8D	6D-2	RobotArm
8D	6D-3	RobotArm
8D	6D-4	Camera
8D	10D-1	RobotArm
8D	10D-2	Camera
8D	10D-3	Camera
8D	10D-4	RobotArm
8D	11D-1	RobotArm
8D	11D-2	Camera
8D	11D-3	Camera
8D	11D-4	RobotArm
8D	12D-1	RobotArm
8D	12D-2	Camera
8D	12D-3	Camera
8D	12D-4	RobotArm
8M	4M-1	Camera
8M	4M-2	RobotArm
8M	4M-3	RobotArm
8M	4M-4	Camera
8M	5M-1	Camera
8M	5M-2	RobotArm
8M	5M-3	RobotArm
8M	5M-4	Camera
8M	6M-1	Camera
8M	6M-2	RobotArm
8M	6M-3	RobotArm
8M	6M-4	Camera
8M	10M-1	RobotArm
8M	10M-2	Camera
8M	10M-3	Camera
8M	10M-4	RobotArm
8M	11M-1	RobotArm
8M	11M-2	Camera
8M	11M-3	Camera
8M	11M-4	RobotArm
8M	12M-1	RobotArm
8M	12M-2	Camera
8M	12M-3	Camera
8M	12M-4	RobotArm
4H	4M-1	RobotArm
4H	4M-2	RobotArm
4H	4M-3	Camera
4H	4M-4	Camera
4H	4L-1	RobotArm
4H	4L-2	RobotArm
4H	4L-3	Camera
4H	4L-4	Camera
4H	4K-1	RobotArm
4H	4K-2	RobotArm
4H	4K-3	Camera
4H	4K-4	Camera
4H	4F-1	Camera
4H	4F-2	Camera
4H	4F-3	RobotArm
4H	4F-4	RobotArm
4H	4E-1	Camera
4H	4E-2	Camera
4H	4E-3	RobotArm
4H	4E-4	RobotArm
4H	4D-1	Camera
4H	4D-2	Camera
4H	4D-3	RobotArm
4H	4D-4	RobotArm
12H	12M-1	RobotArm
12H	12M-2	RobotArm
12H	12M-3	Camera
12H	12M-4	Camera
12H	12L-1	RobotArm
12H	12L-2	RobotArm
12H	12L-3	Camera
12H	12L-4	Camera
12H	12K-1	RobotArm
12H	12K-2	RobotArm
12H	12K-3	Camera
12H	12K-4	Camera
12H	12F-1	Camera
12H	12F-2	Camera
12H	12F-3	RobotArm
12H	12F-4	RobotArm
12H	12E-1	Camera
12H	12E-2	Camera
12H	12E-3	RobotArm
12H	12E-4	RobotArm
12H	12D-1	Camera
12H	12D-2	Camera
12H	12D-3	RobotArm
12H	12D-4	RobotArm
6F	6H-1	RobotArm
6F	6H-2	RobotArm
6F	6H-3	Camera
6F	6H-4	Camera
6F	6J-1	RobotArm
6F	6J-2	RobotArm
6F	6J-3	Camera
6F	6J-4	Camera
6F	6K-1	RobotArm
6F	6K-2	RobotArm
6F	6K-3	Camera
6F	6K-4	Camera
6F	6D-1	Camera
6F	6D-2	Camera
6F	6D-3	RobotArm
6F	6D-4	RobotArm
6F	6C-1	Camera
6F	6C-2	Camera
6F	6C-3	RobotArm
6F	6C-4	RobotArm
6F	6B-1	Camera
6F	6B-2	Camera
6F	6B-3	RobotArm
6F	6B-4	RobotArm
6F	4F-1	Camera
6F	4F-2	RobotArm
6F	4F-3	RobotArm
6F	4F-4	Camera
6F	3F-1	Camera
6F	3F-2	RobotArm
6F	3F-3	RobotArm
6F	3F-4	Camera
6F	2F-1	Camera
6F	2F-2	RobotArm
6F	2F-3	RobotArm
6F	2F-4	Camera
6F	8F-1	RobotArm
6F	8F-2	Camera
6F	8F-3	Camera
6F	8F-4	RobotArm
6F	9F-1	RobotArm
6F	9F-2	Camera
6F	9F-3	Camera
6F	9F-4	RobotArm
6F	10F-1	RobotArm
6F	10F-2	Camera
6F	10F-3	Camera
6F	10F-4	RobotArm
6K	6M-1	RobotArm
6K	6M-2	RobotArm
6K	6M-3	Camera
6K	6M-4	Camera
6K	6P-1	RobotArm
6K	6P-2	RobotArm
6K	6P-3	Camera
6K	6P-4	Camera
6K	6N-1	RobotArm
6K	6N-2	RobotArm
6K	6N-3	Camera
6K	6N-4	Camera
6K	6H-1	Camera
6K	6H-2	Camera
6K	6H-3	RobotArm
6K	6H-4	RobotArm
6K	6G-1	Camera
6K	6G-2	Camera
6K	6G-3	RobotArm
6K	6G-4	RobotArm
6K	6F-1	Camera
6K	6F-2	Camera
6K	6F-3	RobotArm
6K	6F-4	RobotArm
6K	4K-1	Camera
6K	4K-2	RobotArm
6K	4K-3	RobotArm
6K	4K-4	Camera
6K	3K-1	Camera
6K	3K-2	RobotArm
6K	3K-3	RobotArm
6K	3K-4	Camera
6K	2K-1	Camera
6K	2K-2	RobotArm
6K	2K-3	RobotArm
6K	2K-4	Camera
6K	8K-1	RobotArm
6K	8K-2	Camera
6K	8K-3	Camera
6K	8K-4	RobotArm
6K	9K-1	RobotArm
6K	9K-2	Camera
6K	9K-3	Camera
6K	9K-4	RobotArm
6K	10K-1	RobotArm
6K	10K-2	Camera
6K	10K-3	Camera
6K	10K-4	RobotArm
10K	10M-1	RobotArm
10K	10M-2	RobotArm
10K	10M-3	Camera
10K	10M-4	Camera
10K	10P-1	RobotArm
10K	10P-2	RobotArm
10K	10P-3	Camera
10K	10P-4	Camera
10K	10N-1	RobotArm
10K	10N-2	RobotArm
10K	10N-3	Camera
10K	10N-4	Camera
10K	10H-1	Camera
10K	10H-2	Camera
10K	10H-3	RobotArm
10K	10H-4	RobotArm
10K	10G-1	Camera
10K	10G-2	Camera
10K	10G-3	RobotArm
10K	10G-4	RobotArm
10K	10F-1	Camera
10K	10F-2	Camera
10K	10F-3	RobotArm
10K	10F-4	RobotArm
10K	8K-1	Camera
10K	8K-2	RobotArm
10K	8K-3	RobotArm
10K	8K-4	Camera
10K	7K-1	Camera
10K	7K-2	RobotArm
10K	7K-3	RobotArm
10K	7K-4	Camera
10K	6K-1	Camera
10K	6K-2	RobotArm
10K	6K-3	RobotArm
10K	6K-4	Camera
10K	12K-1	RobotArm
10K	12K-2	Camera
10K	12K-3	Camera
10K	12K-4	RobotArm
10K	13K-1	RobotArm
10K	13K-2	Camera
10K	13K-3	Camera
10K	13K-4	RobotArm
10K	14K-1	RobotArm
10K	14K-2	Camera
10K	14K-3	Camera
10K	14K-4	RobotArm
10F	10H-1	RobotArm
10F	10H-2	RobotArm
10F	10H-3	Camera
10F	10H-4	Camera
10F	10J-1	RobotArm
10F	10J-2	RobotArm
10F	10J-3	Camera
10F	10J-4	Camera
10F	10K-1	RobotArm
10F	10K-2	RobotArm
10F	10K-3	Camera
10F	10K-4	Camera
10F	10D-1	Camera
10F	10D-2	Camera
10F	10D-3	RobotArm
10F	10D-4	RobotArm
10F	10C-1	Camera
10F	10C-2	Camera
10F	10C-3	RobotArm
10F	10C-4	RobotArm
10F	10B-1	Camera
10F	10B-2	Camera
10F	10B-3	RobotArm
